main_gloss,og_gloss,dominant_start_handshape,non_dominant_start_handshape,dominant_end_handshape,non_dominant_end_handshape,handedness,compounded_word,notes,components
PUPPET,PUPPET,crvd-B,B-xd,flat-O,B-xd,2,,,
PURPLE,PURPLE,K,,K,,1,,,
PURSE,PURSE,crvd-B,,crvd-B,,1,,,
PURSE,(S)PURSE,S,,S,,1,,,
PUSH,PUSH,5,5,5,5,2,,,
PUSH,PUSH,B-L,B-L,B-L,B-L,2,,,
PUT,PUT,flat-O,flat-O,flat-O,flat-O,2,,,
PUT ON GLOVES,PUT-ON-GLOVES,crvd-5,crvd-5,crvd-B,crvd-B,2,,,
PUT ON GLOVES,PUT-ON-GLOVES,crvd-5,5,crvd-B,5,2,,,
PUT ON HEARING AID,PUT-ON-HEARING-AID,X,,X,,1,,,
PUT ON RING,PUT-ON-RING,open-F,crvd-sprd-B,F,crvd-sprd-B,2,,,
PUT ON RING,PUT-ON-RING,open-F,5,open-F,5,2,,,
PUZZLE/PUSH BUTTONS,PUZZLE/PUSH-BUTTONS,10,10,10,10,2,,,
Q,Q,G,,G,,1,,alphabet,
Q-TIP,Q-TIP,X-over-thumb,,X-over-thumb,,1,,,
QUADRUPLE,QUADRUPLE,4,B-L,4,B-L,2,,,
QUEBEC,ns-QUEBEC,G,,G,,1,,,
QUEEN,QUEEN,G,,G,,1,,,
QUESTION,QUESTION,1,,1,,1,,,
QUESTION MARK WIGGLE,QMwg,X,,X,,1,,Indicates a yes/no question in ASL,
QUESTION MARK WIGGLE,QMwg,1,,X,,1,,Indicates a yes/no question in ASL,
QUIET,QUIET,B,B,B,B,2,,,
QUIET,QUIET,B-xd,B-xd,B-xd,B-xd,2,,,
QUINTUPLE,QUINTUPLE,5,B-L,5,B-L,2,,,
QUIT,QUIT,U,S,U,S,2,,,
QUIT,QUIT,U-L,O,U-L,O,2,,,
QUIT,QUIT,U,O,U,O,2,,,
QUOTE/TOPIC,QUOTE/TOPIC,V,V,crvd-V,crvd-V,2,,,
R,R,R,,R,,1,,alphabet,
RABBI,RABBI_2,R,R,R,R,2,,,
RABBI,RABBI,crvd-L,crvd-L,crvd-L,crvd-L,2,,,
RABBI,RABBI,C,C,C,C,2,,,
RABBI,RABBI_2,1,1,1,1,2,,,
RABBIT,RABBIT,U-L,U,bent-U-L,bent-U,2,,,
RABBIT,RABBIT,bent-U-L,bent-U-L,bent-U-L,bent-U-L,2,,,
RACCOON,RACCOON,V,V,U,U,2,,,
RADIO,RADIO,crvd-5,,crvd-5,,1,,,
RAIN,RAIN,5,5,5,5,2,,,
RAIN,RAIN,crvd-5,crvd-5,crvd-5,crvd-5,2,,,
RAINBOW,RAINBOW,4,4,4,4,2,,,
RAINBOW,RAINBOW,4,,4,,1,,,
RAKE,RAKE,5-C-L,B-L,5-C-L,B-L,2,,,
RAKE,RAKE,crvd-5,B-L,crvd-5,B-L,2,,,
RAKE,RAKE,crvd-5,B-L,5-C-L,B-L,2,,,
RAM,RAM,R,R,R,R,2,,,
RAM,RAM,1,1,1,1,2,,,
RAM,RAM,1,1,bent-1,bent-1,2,,,
RAT,RAT,R,,R,,1,,,
RATTLE,RATTLE,X-over-thumb,,X-over-thumb,,1,,,
READ,READ,V,B-L,V,B-L,2,,,
READY,READY,R,R,R,R,2,,,
REALLY,REALLY,1,,1,,1,,,
REALLY MINE,REALLY+POSS:i,1,,B-L,,1,REALLY+POSS,,REALLY+POSS:i
REASON,REASON,R,,R,,1,,,
RECENT PAST,RECENT-PAST,X,,X,,1,,,
RECENT PAST,RECENT-PAST,1,,X,,1,,,
RECLINE/ROCKING CHAIR,RECLINE/ROCKING-CHAIR,3,3,3,3,2,,,
RECORD,RECORD,flat-O,B-L,B-L,B-L,2,,,
RECORD,RECORD,O,B-L,B-L,B-L,2,,,
RECORD/BREAK RECORD,RECORD/BREAK-RECORD,5,psv,S,psv,2,,,
RECORD/BREAK RECORD,RECORD/BREAK-RECORD,crvd-5,psv,S,psv,2,,,
RECYCLE,RECYCLE,R,R,R,R,2,,,
RED,RED,1,,X,,1,,,
REDUCE,REDUCE,B-L,B,tight-C,B,2,,,
REDUCE,REDUCE,B-L,B-L,tight-C,B-L,2,,,
REF,#REF,R,,F,,1,,loan,
REFER,REFER,bent-1,psv,1,psv,2,,,
REFER,REFER,1,S,1,S,2,,,
REFER,REFER,R,psv,R,psv,2,,,
REFER,REFER,R,S,R,S,2,,,
REFLECT,REFLECT,B-L,B-L,B-L,B-L,2,,,
REFRIGERATOR,COLD+DOOR,S,S,B,B,2,COLD+DOOR,,COLD+DOOR
REFUSE,REFUSE,10,,10,,1,,,
REGISTER,REGISTER,R,B-L,R,B-L,2,,,
REGULAR,REGULAR,1,1,1,1,2,,,
REGULAR,REGULAR,bent-1,1,bent-1,1,2,,,
REHAB,fs-REHAB,R,,B,,1,,fingerspelled,
REINS,REINS,G,G,G,G,2,,,
REJECT,REJECT,B-L,B-L,B-L,B-L,2,,,
RELATIONSHIP,RELATIONSHIP,8,8,8,8,2,,,
RELATIONSHIP OFF,RELATIONSHIP-OFF,O,O,F,F,2,,,
RELATIVE,RELATIVE,R,R,R,R,2,,,
RELAY OPERATOR,RELAY-OPERATOR,L-X,,L-X,,1,,,
RELIGION,RELIGION,R,,R,,1,,,
REMEMBER,REMEMBER,10,10,10,10,2,,,
REMEMBER,REMEMBER,10,A,10,A,2,,,
REMIND,REMIND,bent-B-L,D,bent-B-L,D,2,,,
REMIND 2p,REMIND-2p,bent-B-L,,bent-B-L,,1,,,
REMOVE,REMOVE,A,B-L,5,B-L,2,,,
RENOVATOR,RENOVATION+AGENT,B-L,S,B-L,B-L,2,RENOVATION+AGENT,,RENOVATION+AGENT
RENOVATOR,RENOVATION+AGENT,B-L,psv,B-L,B-L,2,RENOVATION+AGENT,,RENOVATION+AGENT
REPAIR,REPAIR,flat-O,flat-O,flat-O,flat-O,2,,,
REPAIR,REPAIR,O,O,O,O,2,,,
REPLACE,REPLACE,flat-O,flat-O,flat-O,flat-O,2,,,
REPLACE,REPLACE,X-over-thumb,X-over-thumb,X-over-thumb,X-over-thumb,2,,,
REPLACE,REPLACE,F,F,F,F,2,,,
REPLACE,REPLACE,open-F,open-F,F,F,2,,,
REPORT,REPORT,R,R,R,R,2,,,
REPORTER,REPORT+AGENT,R,R,B-L,B-L,2,REPORT+AGENT,,REPORT+AGENT
REPUBLICAN,REPUBLICAN,R,,R,,1,,,
REQUEST,REQUEST,B-L,B-L,B-L,B-L,2,,,
REQUIRE,REQUIRE,1,B-L,1,B-L,2,,,
REQUIRE,REQUIRE,X,B-L,X,B-L,2,,,
REQUIRE,REQUIRE,L-X,B-L,L-X,B-L,2,,,
RESEARCH,RESEARCH,1,B-L,1,B-L,2,,,
RESEARCH,RESEARCH,R,B-L,R,B-L,2,,,
RESPECT,RESPECT,R,,R,,1,,,
RESPECT,RESPECT,R,R,R,R,2,,,
RESPONSIBILITY,RESPONSIBILITY,bent-B-L,,bent-B-L,,1,,,
RESPONSIBILITY,RESPONSIBILITY,R,R,R,R,2,,,
RESPONSIBILITY,RESPONSIBILITY,bent-B-L,bent-B,bent-B-L,bent-B,2,,,
RESPONSIBILITY,RESPONSIBILITY,bent-B-L,bent-B-L,bent-B-L,bent-B-L,2,,,
REST,REST,B-L,B-L,B-L,B-L,2,,,
RESTAURANT,RESTAURANT,R,,R,,1,,,
RESTAURANT,EAT+SELL,flat-O,,flat-O,flat-O,,EAT+SELL,,EAT+SELL
RESTLESS,RESTLESS,crvd-V,U,crvd-V,U,2,,,
RESTLESS,RESTLESS,crvd-V,B-L,crvd-V,B-L,2,,,
RESULT,RESULT,R,B-L,R,B-L,2,,,
RETIRE,RETIRE,L,L,L,L,2,,,
RETIRE,RETIRE,R-L,R-L,R-L,R-L,2,,,
RETIRE,RETIRE,R-L,R-L,R,R,2,,,
REVENGE,REVENGE,baby-O,baby-O,baby-O,baby-O,2,,,
REVIEW,REVIEW,L,B-L,L,B-L,2,,,
REVIEW,REVIEW,R-L,B-L,R-L,B-L,2,,,
RIB,RIB,crvd-L,,crvd-L,,1,,,
RIBS,RIBS,4,4,4,4,2,,,
RICH,RICH,S,crvd-B,5,crvd-B,2,,,
RICH,RICH,S,B-L,5,B-L,2,,,
RICHMOND,ns-RICHMOND,R,,R,,1,,,
RIDE,RIDE,crvd-U,O,crvd-U,O,2,,,
RIDE,RIDE,U-L,U-L,U-L,U-L,2,,,
RIDE ON,RIDE-ON,3,B,3,B,2,,,
RIDE ON,RIDE-ON,,B-L,,B-L,,,,
RIFLE,RIFLE,L-X,crvd-B,L-X,crvd-B,2,,,
RIFLE,RIFLE,crvd-L,flat-B,crvd-L,flat-B,2,,,
RIFLE,(L)RIFLE,L,L,L,L,2,,,
RIGHT,RIGHT,R,,R,,1,,,
RING,RING,open-F,5,open-F,5,2,,,
RIP,RIP,X-over-thumb,X-over-thumb,X-over-thumb,X-over-thumb,2,,,
RIVER,WATER+RIVER,W,,B-L,B-L,,WATER+RIVER,,WATER+RIVER
RIVER,RIVER,B-xd,B-xd,B-xd,B-xd,2,,,
RIVER,WATER+RIVER_2,4,,B-xd,B-xd,,WATER+RIVER,,WATER+RIVER
ROAD,ROAD,B-L,B-L,B-L,B-L,2,,,
ROCK,ROCK,A,B,A,B,2,,,
ROCK,ROCK,A,A,A,A,2,,,
ROCK,ROCK,A,S,A,S,2,,,
ROCKET,ROCKET,R,B-L,R,B-L,2,,,
ROLLER BLADE,ROLLER-BLADE,flat-B,flat-B,flat-B,flat-B,2,,,
ROLLER SKATE,ROLLER-SKATE,crvd-V,crvd-V,crvd-V,crvd-V,2,,,
ROLLING,ROLLING,bent-1,bent-1,bent-1,bent-1,2,,,
ROOMMATE,ROOMMATE,crvd-5,crvd-5,crvd-5,crvd-5,2,,,
ROOSTER,ROOSTER,3,,3,,1,,,
ROPE,ROPE,R,R,R,R,2,,,
ROUGH,ROUGH,5-C-L,B-L,5-C-L,B-L,2,,,
ROUGH,ROUGH,crvd-5,5,crvd-5,5,2,,,
ROWING,ROWING,S,S,S,S,2,,,
ROYAL,ROYAL,L-X,,L-X,,1,,,
ROYAL,ROYAL,crvd-B,,crvd-B,,1,,,
RR,#RR,R,,R,,1,,loan,
RUB,RUB,A,B-L,A,B-L,2,,,
RUBBER,RUBBER,X,,X,,1,,,
RUDE,RUDE,25,B-L,25,B-L,2,,,
RUIN,RUIN,X,X,X,X,2,,,
RULE,RULE,R-L,B-L,R-L,B-L,2,,,
RULE,RULE,R,B-L,R,B-L,2,,,
RUN,RUN,L-X,L-X,L-X,L-X,2,,,
RUN,RUN,crvd-L,crvd-L,crvd-L,crvd-L,2,,,
RUN,RUN,L,L,L-X,L-X,2,,,
RUN MACHINE,RUN-MACHINE,B-L,B-L,B-L,B-L,2,,,
RUN OUT,RUN-OUT,5,B-L,S,B-L,2,,,
RUNNY NOSE,RUNNY-NOSE,4,,4,,1,,,
RUSSIA,ns-RUSSIA,5,5,5,5,2,,,
RUSSIA,ns-nat-RUSSIA,1,,1,,1,,,
S,S,S,,S,,1,,alphabet,
SAD,SAD,5,5,5,5,2,,,
SAFE,SAFE,S,S,S,S,2,,,
SAILBOAT,SAILBOAT,bent-B-L,1,bent-B-L,1,2,,,
SALAD,SALAD,crvd-5,crvd-5,crvd-5,crvd-5,2,,,
SALT,SALT,V,V,V,V,2,,,
SAME,SAME,Y,,Y,,1,,,
SAME,SAME,Y,Y,Y,Y,2,,,
SAME OLD,SAME-OLD,Y,Y,Y,Y,2,,,
SAME TIME,SAME-TIME,I-L-Y,I-L-Y,Y,Y,2,,,
SANDALS,SHOE+HALF-LIMB,S,S,B-L,S,2,SHOE+HALF-LIMB,,SHOE+HALF-LIMB
SANDWICH,SANDWICH,bent-B-L,bent-B-L,bent-B-L,bent-B-L,2,,,
SANDWICH,SANDWICH,bent-B-L,tight-C,bent-B-L,tight-C,2,,,
SANDWICH,SANDWICH,crvd-B,crvd-B,bent-B-L,bent-B-L,2,,,
SANTA CLAUS,ns-SANTA-CLAUS,crvd-5,,crvd-5,,1,,,
SARCASM,SARCASM,horns,horns,horns,horns,2,,,
SATISFIED,SATISFIED,B,B,B,B,2,,,
SATISFIED,SATISFIED,B-xd,B-xd,B-xd,B-xd,2,,,
SATISFIED,SATISFIED,bent-B-xd,bent-B-xd,bent-B-xd,bent-B-xd,2,,,
SATURDAY,SATURDAY,S,,S,,1,,,
SAUCE,SAUCE,10,B-L,10,B-L,2,,,
SAUSAGE/HOT DOG,SAUSAGE/HOT-DOG,crvd-5,crvd-5,S,S,2,,,
SAUSAGE/HOT DOG,SAUSAGE/HOT-DOG,S,S,S,S,2,,,
SAUSAGE/HOT DOG,SAUSAGE/HOT-DOG,crvd-sprd-B,crvd-sprd-B,S,S,2,,,
SAVE,SAVE,V,S,V,S,2,,,
SAVE MONEY,SAVE-MONEY,flat-O,tight-C,flat-O,tight-C,2,,,
SAVE MONEY,SAVE-MONEY,flat-O,C,flat-O,C,2,,,
SAW,SAW,flat-B,B,flat-B,B,2,,,
SAW,SAW,B-L,B-L,B-L,B-L,2,,,
SAW,SAW,B-L,B,B-L,B,2,,,
SAY,SAY,1,,1,,1,,,
SCARF,SCARF,X-over-thumb,X-over-thumb,X-over-thumb,X-over-thumb,2,,,
SCARF,SCARF,1,1,X-over-thumb,X-over-thumb,2,,,
SCHEDULE,SCHEDULE,4,5,4,5,2,,,
SCHEDULE,SCHEDULE,4,B-L,4,B-L,2,,,
SCHEDULE,SCHEDULE,5,B-L,5,B-L,2,,,
SCHOOL,SCHOOL,B-L,B-L,B-L,B-L,2,,,
SCIENCE,SCIENCE,10,10,10,10,2,,,
SCIENTIST,SCIENCE+AGENT,10,10,B-L,B-L,2,SCIENCE+AGENT,,SCIENCE+AGENT
SCOLD,SCOLD,1,,1,,1,,,
SCOOTER,SCOOTER,B-L,B-L,B-L,B-L,2,,,
SCOTLAND,ns-SCOTLAND,4,,4,,1,,,
SCOUT,SCOUT,U,,U,,1,,,
SCRAPE,SCRAPE,5-C,B-L,5-C,B-L,2,,,
SCREAM,SCREAM,5-C,,5-C,,1,,,
SCREAM,SCREAM,5-C-L,5-C-L,5-C-L,5-C-L,2,,,
SCREAM,SCREAM,crvd-5,crvd-5,crvd-5,crvd-5,2,,,
SCREEN/FILTER,SCREEN/FILTER,4,4,4,4,2,,,
SCREWDRIVER,SCREWDRIVER,R,B-L,R,B-L,2,,,
SCREWDRIVER,SCREWDRIVER,U,B-L,U,B-L,2,,,
SCUBA,SCUBA,5-C,,5-C,,1,,,
SD,ns-#SD,S,,D,,1,,loan,
SEARCH FOR,SEARCH-FOR,C,,C,,1,,,
SEAT BELT,SEAT-BELT,bent-U,bent-U,bent-U,bent-U,2,,,
SECOND,SECOND,K,,K,,1,,,
SECOND,SECOND,V,,V,,1,,,
SECOND IN LIST,SECOND-IN-LIST,V,L,V,L,2,,,
SECOND OF TIME,SECOND-OF-TIME,1,B-L,1,B-L,2,,,
SECOND PLACE,SECOND-PLACE,V,,V,,1,,,
SECOND-TO-LAST ITEM IN LIST,LIST-ORDER-RING,1,5,1,5,2,,,
SECRET,SECRET,A,,A,,1,,,
SECRET,SECRET,10,,10,,1,,,
SECRETARY,SECRETARY,K,B-L,K,B-L,2,,,
SECRETARY,SECRETARY,U,B-L,U,B-L,2,,,
SEE,SEE,K,,K,,1,,,
SEE,SEE,V,,V,,1,,,
SEEM,SEEM,crvd-flat-B,,crvd-flat-B,,1,,,
SEEM,SEEM,bent-B-L,,bent-B-L,,1,,,
SEEM,SEEM,crvd-B,,crvd-B,,1,,,
SEESAW,SEE-SAW,crvd-V,crvd-V,crvd-V,crvd-V,2,,,
SELF-TALK,THINK+TALK-TO-SELF,1,,I,I,,THINK+TALK-TO-SELF,,THINK+TALK-TO-SELF
SELF-TALK,THINK+TALK-TO-SELF,I,,I,I,,THINK+TALK-TO-SELF,,THINK+TALK-TO-SELF
SELL,SELL,flat-O,flat-O,flat-O,flat-O,2,,,
SEMESTER,SEMESTER,S,,S,,1,,,
SENATE,SENATE,S,,S,,1,,,
SEND,SEND,bent-B-L,psv,B-L,psv,2,,,
SEND,SEND,bent-B-L,crvd-flat-B,B-L,crvd-flat-B,2,,,
SEND,SEND,bent-B,crvd-flat-B,B-L,crvd-flat-B,2,,,
SEND/MAIL,SEND/MAIL,S,,5,,1,,,
SENIOR,SENIOR,5,5,5,5,2,,,
SENIOR CITIZEN,SENIOR-CITIZEN,S,,C,,1,,,
SENSITIVE,SENSITIVE,25,,25,,1,,,
SENTENCE,SENTENCE,open-F,open-F,F,F,2,,,
SENTENCE,SENTENCE,F,F,F,F,2,,,
SEPARATE,SEPARATE,B-L,B-L,10,10,2,,,
SEPARATE,SEPARATE,crvd-B,crvd-B,10,10,2,,,
SEPARATE,SEPARATE,bent-B-L,bent-B-L,10,10,2,,,
SERIOUS,SERIOUS,1,,1,,1,,,
SERIOUS,FACE+STRONG,1,,S,S,,FACE+STRONG,,FACE+STRONG
SERVICE,SERVICE,horns,horns,horns,horns,2,,,
SERVICE,SERVICE,B-L,B-L,B-L,B-L,2,,,
SERVICE WORKER,SERVICE+AGENT,B-L,B-L,B-L,B-L,2,SERVICE+AGENT,,SERVICE+AGENT
SET UP,SET-UP,10,B,10,B,2,,,
SET UP,SET-UP,10,S,10,S,2,,,
SET UP,SET-UP,10,flat-B,10,flat-B,2,,,
SET UP,SET-UP,10,psv,10,psv,2,,,
SET UP,SET-UP,10,B-xd,10,B-xd,2,,,
SET UP,SET-UP,10,A,10,A,2,,,
SEVEN HOURS,SEVEN-HOURS,7,5,7,5,2,,,
SEVEN HOURS,SEVEN+HOUR,7,,1,B-L,,SEVEN+HOUR,,SEVEN+HOUR
SEVEN MONTHS,SEVEN-MONTHS,7,1,7,1,2,,,
SEVEN WEEKS,SEVEN-WEEKS,7,B-L,7,B-L,2,,,
SEW,SEW,F,F,F,F,2,,,
SEX/GENDER,SEX/GENDER,X,,X,,1,,,
SF,ns-#SF,S,,F,,1,,loan,
SHAKE BY HANDS,SHAKE-BY-HANDS,C,C,C,C,2,,,
SHAKE BY HANDS,SHAKE-BY-HANDS,crvd-5,crvd-5,crvd-5,crvd-5,2,,,
SHAKING OUT,"ICL\shaking out\""""",C,B-L,C,B-L,2,,,
SHAME,SHAME,bent-B-L,,crvd-B,,1,,,
SHAME,SHAME,crvd-B,,crvd-B,,1,,,
SHAME,SHAME,bent-B,,B-L,,1,,,
SHAME,SHAME,bent-B-L,,B-L,,1,,,
SHAME,SHAME,bent-B-L,bent-B-L,crvd-B,crvd-B,2,,,
SHAMPOO,SHAMPOO,crvd-5,crvd-5,crvd-5,crvd-5,2,,,
SHANGHAI,ns-nat-SHANGHAI,I,I,I,I,2,,,
SHAPE/STATUE,SHAPE/STATUE,A,A,A,A,2,,,
SHAPE/STATUE,SHAPE/STATUE,10,10,10,10,2,,,
SHARP,SHARP,25,S,25,S,2,,,
SHARP,SHARP,25,psv,25,psv,2,,,
SHAVE,SHAVE,Y,,Y,,1,,,
SHAVE,SHAVE,X,,X,,1,,,
SHEARS/SHAVE,SHEARS/SHAVE,bent-B,,bent-B,,1,,,
SHEEP,SHEEP,V,S,V,S,2,,,
SHEEP,SHEEP,K,S,K,S,2,,,
SHEEP,SHEEP,V,psv,V,psv,2,,,
SHEET CAKE,SHEET-CAKE,C,B-L,C,B-L,2,,,
SHEET CAKE,SHEET-CAKE,crvd-B,B-L,crvd-B,B-L,2,,,
SHELF/FLOOR,SHELF/FLOOR,B,B,B,B,2,,,
SHELF/FLOOR,SHELF/FLOOR,B,B-xd,B,B-xd,2,,,
SHELF/FLOOR,SHELF/FLOOR,B-xd,B-xd,B-xd,B-xd,2,,,
SHELF/FLOOR,SHELF/FLOOR,bent-B-L,bent-B-L,bent-B-L,bent-B-L,2,,,
SHINE,SHINE,25,S,25,S,2,,,
SHIP,SHIP,3,B-L,3,B-L,2,,,
SHOCKED,THINK+SHOCK,1,,5,5,,THINK+SHOCK,,THINK+SHOCK
SHOCKED,(2h)THINK+SHOCK,1,1,crvd-5,crvd-5,2,(2h)THINK+SHOCK,,THINK+SHOCK
SHOE,SHOE,S,S,S,S,2,,,
SHOE HEEL,SHOE-HEEL,sml-C-3,B-L,sml-C-3,B-L,2,,,
SHOE HEEL,SHOE-HEEL,crvd-L,B-L,crvd-L,B-L,2,,,
SHOOT,SHOOT,L,,L,,1,,,
SHOOT ARROW,SHOOT-ARROW,A,S,U,S,2,,,
SHOOT ARROW,SHOOT-ARROW,cocked-8,cocked-8,4,4,2,,,
SHOOT ARROW,SHOOT-ARROW,horns,S,4,S,2,,,
SHOOT ARROW,SHOOT-ARROW,A,S,B-L,S,2,,,
SHORE,SHORE,B,B,B,B,2,,,
SHORT,SHORT,U,U,U,U,2,,,
SHORT HEIGHT,SHORT-HEIGHT,B-L,,B-L,,1,,,
SHORT HEIGHT,SHORT-HEIGHT,bent-B-L,,bent-B-L,,1,,,
SHORT SLEEVE,SHORT-SLEEVE,C,psv,B-L,psv,2,,,
SHORT SLEEVED,ARM+SHORT-SLEEVE,C,,B-L,psv,,ARM+SHORT-SLEEVE,,ARM+SHORT-SLEEVE
SHORTS,SHORTS,bent-B-L,bent-B-L,bent-B-L,bent-B-L,2,,,
SHOULD,SHOULD,X,,X,,1,,,
SHOVEL/DIG,SHOVEL/DIG,X-over-thumb,X-over-thumb,X-over-thumb,X-over-thumb,2,,,
SHOVEL/DIG,SHOVEL/DIG,S,S,S,S,2,,,
SHOVEL/DIG,SHOVEL/DIG,A,S,A,S,2,,,
SHOW,SHOW,1,B-L,1,B-L,2,,,
SHOW,SHOW,1,5,1,5,2,,,
SHOW,SHOW,R,B-L,R,B-L,2,,,
SHOW,SHOW,bent-M,B-L,bent-M,B-L,2,,,
SHOWER,SHOWER,S,,crvd-5,,1,,,
SHUT,SHUT,B,B,B,B,2,,,
SHUT,SHUT,B-xd,B-xd,B-xd,B-xd,2,,,
SHUT UP,SHUT-UP,bent-B-L,,flat-O,,1,,,
SHUT UP,SHUT-UP,crvd-sprd-B,,flat-O,,1,,,
SHY,SHY,bent-B-L,,bent-B-L,,1,,,
SHY,SHY,bent-B,,bent-B,,1,,,
SICK,SICK,25,25,25,25,2,,,
SICK/SILLY,SICK/SILLY,25,,25,,1,,,
SIDE,SIDE,B-L,,B-L,,1,,,
SIGN,SIGN,1,1,1,1,2,,,
SIGN LANGUAGE,SIGN+LANGUAGE,1,1,L,L,2,SIGN+LANGUAGE,,SIGN+LANGUAGE
SIGNATURE,SIGNATURE,U,B-L,U,B-L,2,,,
SILENT,BECOME+QUIET,B-L,B-L,B-L,B-L,2,BECOME+QUIET,,BECOME+QUIET
SILENT,BECOME+QUIET,crvd-B,crvd-B,5,5,2,BECOME+QUIET,,BECOME+QUIET
SILLY,SILLY,Y,,Y,,1,,,
SILVER,SILVER,S,,S,,1,,,
SIMMER,SIMMER,crvd-5,psv,crvd-5,psv,2,,,
SIMPLE,SIMPLE,F,F,F,F,2,,,
SINGAPORE,ns-SINGAPORE,baby-O,,baby-O,,1,,,
SINGLE,SINGLE,B,,B,,1,,,
SINGLE,SINGLE,D,,D,,1,,,
SINGLE,SINGLE,1,,1,,1,,,
SISTER,SISTER,L,L,L,L,2,,,
SIT,SIT,U,U,crvd-U,U,2,,,
SIT,SIT,crvd-U,U,crvd-U,U,2,,,
SIT,"SIT+DCL:crvd-U\couch shaped object\""""",U,U,crvd-U,crvd-U,2,,sit on a couch,SIT+descriptive
SIT,SIT,U,U,U,U,2,,,
SIT ON A COUCH,"SIT+DCL:crvd-B\couch shaped object\""""",U,U,crvd-B,crvd-B,2,,,SIT+descriptive
SIT ON A COUCH,"SIT+DCL:crvd-B\couch shaped object\""""",crvd-U,U-L,crvd-B,crvd-B,2,,,SIT+descriptive
SITUATION,SITUATION,S,1,S,1,2,,,
SIX DOLLARS,SIX-DOLLARS,6,,6,,1,,,
SIX HOURS,SIX-HOURS,6,B-L,6,B-L,2,,,
SIX HOURS,SIX+HOUR,6,,1,B-L,,SIX+HOUR,,SIX+HOUR
SIX MONTHS,SIX-MONTHS,6,1,6,1,2,,,
SIX WEEKS,SIX-WEEKS,6,B-L,6,B-L,2,,,
SIZE,SIZE,Y,Y,Y,Y,2,,,
SKI,SKI,X,X,X,X,2,,,
SKILL,SKILL,10,B-L,10,B-L,2,,,
SKILL,SKILL,bent-B-L,B-L,A,B-L,2,,,
SKILL,SKILL,10,B-L,A,B-L,2,,,
SKIN,SKIN,G,,G,,1,,,
SKIN,SKIN,L-X,,L-X,,1,,,
SKIRT,SKIRT,5,5,5,5,2,,,
SKUNK,SKUNK,8,,8,,1,,,
SKUNK,SKUNK,K,,K,,1,,,
SKY,SKY,B-L,,B-L,,1,,,
SKYSCRAPER,SKYSCRAPER,1,1,1,1,2,,,
SLAVE,SLAVE,A,A,A,A,2,,,
SLAVE,SLAVE,S,S,S,S,2,,,
SLEEP,SLEEP,crvd-sprd-B,,flat-O,,1,,,
SLEEP,SLEEP,crvd-5,,flat-O,,1,,,
SLICE,SLICE,1,flat-O,1,flat-O,2,,,
SLIDING DOORS,SLIDING-DOORS,B-xd,B-xd,B-xd,B-xd,2,,,
SLIM,SLIM,crvd-L,,crvd-L,,1,,,
SLIM,SLIM,G,,G,,1,,,
SLIPPER,SLIPPER,B-L,B-L,crvd-B,crvd-B,2,,,
SLIPPER,SLIPPER,B-L,crvd-B,B-L,B-L,2,,,
SLIPPERY,SLIPPERY,B-L,B-L,B-L,B-L,2,,,
SLOW,SLOW,B-L,B-L,B-L,B-L,2,,,
SLOW,SLOW,B-L,B,bent-B-L,B,2,,,
SLOW,SLOW,5,5,5,5,2,,,
SMALL,SMALL,B-L,B-L,B-L,B-L,2,,,
SMELL,SMELL,B-L,,B-L,,1,,,
SMELLY,SMELLY,B,,B,,1,,,
SMILE,SMILE,tight-C,tight-C,flat-O,flat-O,2,,,
SMILE,SMILE,1,1,1,1,2,,,
SMILE,SMILE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,2,,,
SMOKE,SMOKE,V,,V,,1,,,
SMOKE,SMOKE,K,,K,,1,,,
SMOKE,SMOKE,U,,U,,1,,,
SMOOTH,SMOOTH,flat-O,flat-O,A,A,2,,,
SMOOTH,SMOOTH,8,8,A,A,2,,,
SMOOTH SURFACE,SMOOTH-SURFACE,bent-B,bent-B,bent-B,bent-B,2,,,
SMOOTH SURFACE,SMOOTH-SURFACE,crvd-B,flat-B,crvd-B,crvd-flat-B,2,,,
SNAKE,SNAKE,crvd-V,,crvd-V,,1,,,
SNAKE SLITHER,SNAKE+WAG,crvd-V,,1,psv,,SNAKE+WAG,,SNAKE+WAG
SNEEZE,SNEEZE,bent-1,,bent-1,,1,,,
SNOB,SNOB,1,,1,,1,,,
SNOB,SNOB,horns,,horns,,1,,,
SNORKEL,SNORKEL,L,,L,,1,,,
SNOW,SNOW,5,5,5,5,2,,,
SNOWBOARD,SNOWBOARD,crvd-flat-B,crvd-flat-B,crvd-flat-B,crvd-flat-B,2,,,
SNOWBOARD,SNOWBOARD,bent-B-L,bent-B-L,bent-B-L,bent-B-L,2,,,
SNOWMOBILE,SNOW+MOTORCYCLE,5,5,S,S,2,SNOW+MOTORCYCLE,,SNOW+MOTORCYCLE
SNOWMOBILE,SNOWMOBILE,S,S,S,S,2,,,
SO-SO,SO-SO,5,,5,,1,,adjective/adverb; okay/mediocre,
SOAP,SOAP,B-L,crvd-B,bent-B-L,crvd-B,2,,,
SOAP,SOAP,B-L,B-L,10,B-L,2,,,
SOCIAL WORK,SOCIAL-WORK,S,B-L,W,B-L,2,,,
SOCIAL/INTERACT,SOCIAL/INTERACT,10,10,10,10,2,,,
SOCIETY,SOCIETY,S,S,S,S,2,,,
